unknown CTMC
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
0.0 0.0 0.0 8.436440899145149e-96 3.421563834367034e-16 0.07313059248928491 2.6017212507162177e-122 0.05878862179258129 0.01255341250074861 7.065251231693763e-202 0.10665659780604758 2.2641243727093983e-53 2.5491959269956365e-36 0.06768234225720675 2.495618584676608e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.06455165600960727 1.107339763326859e-10 3.223034648896508e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03319909765510513 0.02372032685182098 0.012970714587689629 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 2.81753014528452e-63 0.00015480878096176575 3.018205167438091e-12 0.0 0.0 0.0 0.00021812485619798088 0.0006527191582958328 4.277000199625919e-12 0.06917909625421431 0.06443359088934601 0.11875605795956092 0.0 0.0 0.0 1.7652458666596478e-32 0.00020518891175528122 7.934096069134437e-19 0.0 0.0 0.0 0.0 0.0 0.0 1.0825984244035906e-42 0.24112123601512903 3.810112809477222e-24 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1093041222978228e-31 6.80479478464846e-12 0.01118886643159629 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4349209373280867e-57 3.1893025459618274e-05 1.168234301087441e-05 3.186353919898987e-30 2.079279314385738e-18 0.015369766094564774 1.2833195567366932e-10 0.016522872408073604 1.7461290727302668e-23 0.030258018510118414 1.4801688522649751e-09 5.5492825667803344e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0028587102706011613 0.3422362585045261 0.17637114456962963 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.2729478958462054e-27 4.4138298173935605e-18 2.0273430975712785e-28 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
1.8732574270548027e-196 0.0056940112273340645 3.0175012610472323e-38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.3219377932876426e-189 3.7772754196566366e-06 6.366916426420168e-29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.255723969015005e-145 0.023405093456938794 0.09417675882322218 2.389671593226595e-179 0.07692116051292687 0.08585075766342434 1.2584552998382909e-139 0.07891666698789383 1.3483942814906713e-59 2.111719348514509e-186 8.115238428923029e-07 3.90871303417864e-27 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 1.1848594798267925e-52 7.141978993880836e-05 5.864386929429047e-10 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1564997989055354e-09 1.476728330751794e-12 5.702310447787314e-06 0.0 0.0 0.0 0.0 0.0 0.0 2.0678826272829506e-33 2.8830290520934988e-15 0.28344072811343485 0.0 0.0 0.0 4.18114177908835e-67 0.02789241474638774 0.14023696992531276 4.01200539604293e-67 8.487193165832721e-13 0.022885843655613667 0.0 0.0 0.0 1.1930768396956526e-30 0.02308041673563195 0.037991348266457683 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 2.445711316080066e-46 0.3168397916379205 4.5950663178990536e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.006314259438892e-19 5.094237660988462e-06 3.9854461155736517e-07 0.0 0.0 0.0 1.1399479392930535e-20 0.0006324521028978267 1.0303445201589362e-09 0.021353301200391257 0.05292714840990731 8.829070860354301e-18 0.0 0.0 0.0 6.703160031143399e-33 0.14631747395768316 4.422502325468381e-05 0.0 0.0 0.0 0.0 0.0 0.0 1.234309823606463e-48 4.3262031904452394e-05 2.9181449435716723e-15 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6134409354277004e-09 0.043019994789880535 1.2046621268056425e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.17276275246932074 0.048131637637628025 1.826808135302656e-23 2.281941860431363e-09 9.629741458929824e-05 3.695311619514853e-07 6.157831102217086e-07 0.023849645857115163 0.044939052433090446 1.0137901755039198e-06 0.004267055579637074 2.356409925534807e-22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.1709498278305442e-07 0.03648437208770062 0.07846233010291467 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
2.485858758015759e-72 0.00012885240213556123 2.3460125096012772e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.702160201434745e-52 0.21599438044765248 1.575784810970939e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.449748481421097e-66 0.0002808831788512304 5.803514270881475e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2343221413649902e-72 6.61204097410346e-08 1.3119210712587346e-26 1.641732209035016e-89 0.2403002581237335 2.6157207159711807e-27 1.0981572326900988e-93 0.01189394126046163 3.440456252667255e-26 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 9.594885319178341e-36 3.487830329070884e-37 7.566391122385318e-25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02190960222290882 1.317912342914033e-05 0.0016090740524793842 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.009957130575002106 8.387329947539176e-29 6.563223670626406e-17 0.0 0.0 0.0 0.0 0.0 0.0 5.763110094028486e-56 4.747324206296781e-56 0.29065254120437095 0.0 0.0 0.0 2.795310081203051e-56 3.709581034006401e-09 0.003026946071148586 0.04237087320964422 4.188687719531682e-42 0.17534716680603227 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.010581379325189728 0.0020085093605281303 4.000853034814493e-18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.024814903970807194 3.250531105475894e-05 0.22204646437548567 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1536921218298737 2.9762779859632517e-06 0.008516589164353933 0.0 0.0 0.0 3.888673839981125e-18 0.009884759389589156 1.040459319305346e-08 8.250128807116743e-29 2.056117903171455e-05 2.873952564839232e-13 0.0 0.0 0.0 4.767777937830257e-40 0.050430204525293364 2.3284541613302093e-12 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0754065527093756e-37 0.02278872715646684 2.5059409675365626e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9207919844357476e-07 9.022716438866952e-09 0.2509418853106299 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.197397475792037e-12 1.7983323210913573e-11 1.5508783526666716e-26 2.9576914046183567e-32 0.0016121307262634903 0.2320897553102935 4.639672988400114e-28 5.661906222444251e-09 2.969444703768287e-22 1.7671835122791806e-26 0.00261207688578137 5.163552381041203e-25 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
