unknown CTMC
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
0.0 0.0 0.0 2.3982586047814493e-84 0.0005759907573189746 2.858480837052093e-20 3.401576622897922e-65 9.11537068165701e-16 0.0821654632420561 2.0232856907407176e-84 0.14206606337325456 5.5766798603109355e-28 0.008244183782186467 0.034184986759858066 0.020756377024065305 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08661706771760802 1.5664011399022983e-11 1.32749043735978e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.913362914471917e-44 0.09925061317638348 1.0698727039453044e-26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 4.770573338042813e-25 0.10534795524111538 0.027502688901553406 0.0 0.0 0.0 1.9156622342224634e-34 3.437138648642602e-13 0.18325736105155233 2.9395225721087e-34 6.8285940554161256e-06 0.0005307598225156528 0.0 0.0 0.0 3.4038352612422806e-15 0.06925912376645131 0.18849073728378934 0.0 0.0 0.0 0.0 0.0 0.0 1.050346727084964e-20 2.23625970862273e-16 1.3833726973445645e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0341453936216375e-25 1.2265711691034303e-08 5.332985712090547e-14 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.026178849819411383 0.0006189734425998795 0.02052059701237193 0.08594921599583433 0.10583236908361043 0.024476414951939557 1.45691681017108e-14 0.006247776934778645 7.280409911514509e-06 2.7407815516637034e-06 0.10817906793556274 2.848203417882124e-22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1509321299000924 4.3492725301150914e-14 2.5572323977664972e-33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9718094736417802e-07 0.0003856565168974996 4.774528969791539e-07 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
6.188707118379243e-76 0.03288929916804682 4.665677820968212e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.889828750113612e-76 0.04827196008123765 0.006748788935099193 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.399267485584537e-71 0.07643034961812206 7.898414842602968e-10 3.395093132647988e-70 7.203786824895695e-09 0.12656082244988073 1.1165293329711426e-77 0.08811989041577187 0.008892717445862378 2.2735891129532853e-79 0.00145198840628105 6.6967386077377535e-21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 1.7624169471976192e-13 0.0003364312594291361 1.7078809355544142e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.243128302608263e-31 0.11129798092526635 7.837188304208941e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.003812445318825136 6.259157536920458e-05 0.00010609675547579167 0.0 0.0 0.0 0.10305789150389708 0.03788989962830796 0.08658176351067129 1.6873721101792559e-06 0.05183025250107519 0.0025015265920891316 0.0 0.0 0.0 0.07051281468067064 0.0008925937454930966 0.009686961697320612 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 4.124629395618967e-28 1.4670278400910038e-06 1.0565551380167937e-12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.004476269509332958 2.2766365743735847e-08 3.919725542474156e-08 0.0 0.0 0.0 1.0367033359278923e-27 0.004256650690277843 0.3115742165616557 2.4017170056059945e-44 0.15295526493136877 0.06123026659704621 0.0 0.0 0.0 1.5963263624597152e-11 0.003603450812762878 0.0005970507953096469 0.0 0.0 0.0 0.0 0.0 0.0 8.758924344503967e-40 0.029350786395768005 0.0049712730368363335 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0278636173854143e-14 3.518704767753483e-07 7.700008892330977e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.4249877131949613e-11 1.6723341674361842e-09 1.3802539895713647e-05 0.0010078435063518645 0.12413874671100976 0.08877113080217723 0.018241436657142094 0.01010244528255354 0.042942182014966024 5.5254976139889514e-09 4.36691081881311e-07 0.18675921990707214 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.366536306212353e-13 1.3754752932386122e-05 2.9741866993713027e-07 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.00033562306756005576 0.20711598783226345 4.778319972623449e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.07577026647612711 0.08125012246630792 0.00930507972693256 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.018774469230466523 5.972207149488844e-17 3.828529525453313e-08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0016820483382214968 1.801871709686943e-07 3.3969468078319523e-07 5.207810058069735e-13 1.9301558445138411e-25 0.09178337695005621 4.6840713474214673e-26 0.022045398458661006 3.900528340442998e-27 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 1.686597436991589e-36 0.12236838709592915 0.06540806405933768 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.7680189878172386e-42 0.1259244912408285 0.07459734054864012 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.232856096266241e-20 0.17363040152918674 4.859035943279607e-06 0.0 0.0 0.0 0.0 0.0 0.0 9.856673379243726e-16 0.0200859926311135 3.364604031033151e-06 0.0 0.0 0.0 0.00013250538075483884 0.024927788599999723 4.750389180133434e-10 3.3816279641449014e-36 0.007230442142880486 0.0001449062308851817 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 6.541060162720718e-22 0.056085416926993974 5.25928071241809e-21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02833966926144396 1.698038806302404e-05 1.097138283636465e-31 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0027939670892155317 0.06361746047039568 2.285879393290864e-16 0.0 0.0 0.0 6.001687704796585e-28 2.9495610487216555e-10 0.30855374667925906 2.293850912984351e-06 4.490918114794778e-05 2.3629049591144256e-10 0.0 0.0 0.0 1.2046473902446863e-13 0.16330527110916707 1.457708551943526e-10 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1670409006429901e-17 0.0018457043285077916 0.00042590415324337075 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04777183770323631 0.21695853205239837 5.933852895378308e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.425291239036527e-09 1.7980222929964372e-21 0.010236794337853496 0.013432836159260369 4.773973350264944e-06 1.1880659259676712e-22 0.0009472970232343332 0.09929999502530074 0.06839888630470153 0.0495820647927824 1.5884974868198096e-06 0.014832226298399588 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
