unknown CTMC
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
0.0 0.0 0.0 5.184844295128831e-172 0.23057718196103189 7.444668314472467e-19 0.0 0.000723164195755113 2.2136373666617834e-16 3.6575199263714424e-23 0.00539721702513584 0.04939153856614313 7.583533212427671e-126 2.5405105771049537e-14 0.059023087123331895 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.049617133870437154 0.04056540768807508 3.019739485734928e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03907922544229704 2.293554420008682e-06 2.2698870431796856e-59 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.029098314006582717 0.09069116891660939 0.027927642729334935 0.0 0.0 0.0 0.1453705645504914 8.98730942040478e-09 0.00022034754658464153 4.845463138930654e-23 0.06931561320821884 3.3803993536799174e-10 0.0 0.0 0.0 1.0147008824350797e-25 4.574013496794642e-06 1.3469314678100535e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.01960859870106665 0.06500047596315334 5.588500104482494e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.71993692787842e-31 0.05084081902271976 4.470026071830726e-15 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.293502977616924e-130 2.8371603756882324e-29 0.04513763173654849 1.6071857614877298e-122 0.08407171463201349 1.2015293943072456e-29 8.495656832721211e-95 5.057292656870029e-05 8.727059943499877e-36 1.1008277763675081e-197 0.0021588888427095353 0.1775038773392382 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4611904546878807e-174 2.159432765157782e-38 0.21992679130044818 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2931167968404166e-67 0.09030141644813809 3.9717105658095997e-25 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
4.263177867322678e-213 0.0012686463457625998 6.113159211660802e-38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.701437950317626e-214 1.875145819081721e-33 0.09141857613839402 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.991960480188142e-213 0.261511038985352 0.03620304265321805 3.9065099245455177e-215 1.053930666519171e-16 4.4057318556326125e-55 7.401309329262602e-204 2.7034684268549383e-12 0.0008715934221897543 2.6291259332846244e-175 0.0008678323006063806 0.04666806325861797 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 1.0098488316633716e-60 2.0181834544924652e-07 7.230115639877433e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.6864753634520755e-08 1.2088357956113389e-12 3.163998064267532e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.03938079597366943 0.09639718495163677 1.4600418815132703e-10 0.0 0.0 0.0 1.1114073870746789e-19 0.15710282644892615 0.043887087637696186 5.561983524037945e-27 3.3800560625968536e-08 1.1774367220088248e-08 0.0 0.0 0.0 3.4047376640096384e-21 0.14671132890801733 1.3361663684230175e-38 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 7.167149551104191e-126 0.09181232443841396 0.029752287445063974 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.0337432367904e-71 0.4031780900920167 4.752577848311642e-16 0.0 0.0 0.0 5.08850543176883e-06 9.415711553402843e-13 2.3914313096831514e-26 3.5555930062042476e-21 0.002599375065491654 0.04089092640958845 0.0 0.0 0.0 1.1396555822439848e-05 0.00020815517990829127 6.774675100678527e-06 0.0 0.0 0.0 0.0 0.0 0.0 3.968737283568732e-65 2.0880856052258327e-07 3.652449116908435e-08 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.8796857928662042e-41 6.480056986829281e-15 0.1221392665056372 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.014684108088602219 0.0010943576144987399 5.964410757835076e-11 4.475744748796323e-61 0.018573532223034612 0.00019878372631131053 1.0293069338019862e-85 0.11058772883303286 3.8527926117841e-21 3.7937219503155814e-89 0.07117522904101188 3.8011164210098015e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1400885066262614e-40 0.05694157174868726 0.06435535701087088 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
3.801330640860657e-127 1.3738723849407627e-05 1.7540234948604778e-25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.29545240393787e-114 1.0167567364079919e-19 8.065845046591333e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.60850422332832e-117 8.389460583680731e-24 5.439407219034982e-13 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.65550979403999e-120 0.3855824235207697 2.481863836285152e-21 7.520378491409245e-154 0.018116266436282627 1.8935255660453607e-34 1.7988313580595138e-91 6.252177083794517e-13 0.09048224233511153 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 2.1488402989381116e-33 2.5152912872925835e-07 1.5028160397922638e-17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04309695604668424 3.922784048311889e-23 0.04296840772099585 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4.98613178043668e-16 9.972953027073314e-19 0.0004995107702915293 0.0 0.0 0.0 0.0 0.0 0.0 0.07567556580544506 1.1361648540959787e-26 4.555445470122516e-10 0.0 0.0 0.0 3.6526780033418324e-42 0.14574108630708885 0.005795049932264041 0.03021281897947927 1.9496926440001825e-10 0.1397243143312705 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 2.2441143633454234e-46 0.0020156357836668922 1.4268310086423197e-16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.454543907919297e-23 6.489619592949037e-13 2.5045799883463523e-24 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1604191056284998 1.7933747950795386e-07 1.3837077391535774e-22 0.0 0.0 0.0 0.028439812296178587 5.590168505455161e-37 0.049773769102103224 2.928890621444646e-11 2.2320808886463348e-20 4.444315704185404e-17 0.0 0.0 0.0 1.66038101921843e-19 0.1126812500026988 0.1602046070941072 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0027063437319575796 4.22986100519067e-12 3.387069930153012e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9.883594892551484e-32 0.0017055176015192048 1.379232631907612e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.281592171053587e-25 3.967107506311392e-11 0.44943518851560105 0.016135370419348326 1.1664764334375046e-25 5.524661800944919e-06 2.3245743770483245e-73 0.08414030131899013 9.864395631236472e-11 1.0625692789580767e-85 8.718955599941522e-15 3.307130337691077e-38 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
