unknown CTMC
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
0.0 0.0 0.0 1.480813076878283e-51 0.11369008146173884 3.5724538251310935e-14 0.09378978864750183 9.77583878615011e-09 0.001691039641905463 1.4567523584737424e-47 0.03329047249024195 1.7330258117171154e-09 3.193672380616723e-35 3.190513981207962e-08 0.08588646724795683 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.6969649736877202e-183 0.00381581970788007 4.229585213927186e-34 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.111842637659882e-51 0.11795759069159988 0.006933462766593291 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 3.5228545062577375e-31 1.4415918939163573e-17 5.4486918596097726e-08 0.0 0.0 0.0 1.4429775469147496e-34 0.0002590547334809212 2.0117515212960832e-16 0.05047153595674809 4.479715447475586e-25 2.5677049340337736e-24 0.0 0.0 0.0 5.767729764821935e-32 0.2699040049387744 0.01353226266820987 0.0 0.0 0.0 0.0 0.0 0.0 2.3951051373248625e-57 0.02255316799545453 0.0005150675261344982 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.595377637054169e-32 9.015659051485482e-08 0.21642776819762896 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.4996321360994525e-11 1.963139135744453e-11 4.228300100237588e-09 0.06432150471676643 6.082417123507953e-08 2.7063646269713295e-11 1.3848765540368275e-14 0.11862805606807504 0.16491532739115938 0.05417374207553174 3.56005307082097e-06 1.3113782978995934e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0691774839434794e-09 0.028897214332006673 4.277024451465361e-20 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.1946454397604133e-10 0.00031318305301564236 0.02054001632251588 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.00018002388499999394 4.026561999909522e-05 1.8373639712140604e-07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.004206645301407339 0.012704908645808777 0.044066942988235255 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0029983512460394243 1.532802771170792e-05 4.7559958120820963e-11 0.2949323528839185 0.03954601234699709 2.596711106380083e-05 0.04739904136959613 1.3712173383486703e-05 5.1468139399128644e-08 8.111006341442727e-05 0.005643300951655827 0.05075385449483863 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 1.0609195890092149e-16 2.297449972260296e-07 7.616209089699704e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.8851522234556384e-26 0.029342066610925838 0.06318249875411162 0.0 0.0 0.0 0.0 0.0 0.0 1.0555103560209716e-12 0.32413830083878964 4.21846343234328e-12 0.0 0.0 0.0 0.00041375576654970644 0.0007564774513953564 1.6227201308344313e-08 0.03728298311027555 4.987595413949692e-05 2.08051948640751e-15 0.0 0.0 0.0 0.03304950165216328 9.796632389706731e-06 0.00012431660688538927 0.0 0.0 0.0 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 2.1009818640298324e-09 1.8447954159783744e-05 0.06158753879346352 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08781125278930775 0.059816543473514665 2.507748838411317e-07 0.0 0.0 0.0 5.252130267526449e-19 0.08921489863748855 0.025826056785139797 0.0001020665901393058 0.05141676318374942 0.02231486611943262 0.0 0.0 0.0 0.032747685571271876 0.0709335425062965 0.0016927359787835322 0.0 0.0 0.0 0.0 0.0 0.0 0.0412882360554798 0.00015519019648528888 0.015738957492463693 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.5402196108918623e-07 1.8839728779153362e-05 4.700305765432795e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.2151796686378273e-15 0.16550738001682513 0.10180243803227802 1.8819417146723924e-29 0.003478615952650889 0.15813727810398423 7.033639691731197e-13 0.10527817453824401 0.01981408646459267 2.259185644577489e-06 0.0005012859472914211 1.8790144175660446e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.038205399969650417 0.0004947290778436091 1.1977504378873139e-12 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
2.3361185488804007e-21 0.12448494576779888 6.5454454611415945e-15 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0337596618290385 8.026952223301974e-06 0.05805727662125277 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.9726091004408625e-10 0.09687499673912421 4.956343415440475e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.000148628660992619 0.006840748300237618 9.055609479637465e-21 0.11178303014708282 0.029464552601048053 2.336350265467228e-12 3.704475992081508e-08 1.1178238448481148e-06 0.020180216819675394 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 5.601463104172557e-32 0.02254552402007169 4.627020146692715e-19 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00020671128873229563 0.0693368954394113 0.05971377846958067 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3023809248360358e-32 0.21809001054108346 0.05378460653265464 0.0 0.0 0.0 0.0 0.0 0.0 4.158210158277206e-30 0.005229874209556778 4.657418503566282e-07 0.0 0.0 0.0 3.746330238791858e-06 0.01766742135735092 5.420334078441377e-12 3.849663868570051e-21 0.004858734425338826 0.01218311331520216 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 1.7530280431119388e-42 3.916195720537358e-07 6.340411875510528e-11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.014366767316557972 3.9817414164434925e-07 0.073254560241169 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.461561290790805e-17 0.010486195933806449 6.957962291569674e-14 0.0 0.0 0.0 3.1361642381783354e-51 0.05414491415464151 1.0397903720438971e-11 1.16239352397539e-18 0.258547547645595 7.792028289796796e-14 0.0 0.0 0.0 1.4547490813859544e-25 0.025780380686649593 0.0281488556575352 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1621793359014444e-11 0.0008125435617966605 2.643054646210105e-09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.403782985167273e-09 0.0003881725546607343 0.00495758676723725 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.87136318285583e-18 0.029180646733747137 5.2404920529991374e-17 5.700815128714677e-29 0.0011919419816971914 0.256970315677679 0.09169427077903695 0.0003063893867826886 0.10611557021199906 0.08421639474358146 4.7579326119868906e-17 0.00176321289355199 0.0 0.0 0.0 
0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 13 13 13 14 14 14 15 15 15 
b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r b g r 
